word1,word2,word3,word4 (target),contributor,stand,topic,pred_w2v,targetrank_w2v,pred_twit200,targetrank_twit200,pred_fasttextwiki,targetrank_fasttextwiki,interesting
immigrant,culture,spice,food,Michi (Chat-GPT),,,flavor,6072,,,,,
undocumented,illegal,documented,legal,Michi ,,,documenting,2595,,,,,
border,country,gate,house,Isaac (right wing framing),right,,gates,646,,,,,
immigrant,country,poison,blood,Isaac (trump quote),right,,poisonous,993,,,,,
immigration,nation,water,plant,Isaac (left wing framing),left,,potable_water,1593,,,,,
diversity,society,biodiversity,forest,Isaac (left wing framing),left,,ecosystems,16,,,,,
expat,immigrant,insider,outsider,Isaac,,,illegal_immigrant,16,,,,,
passport,mobility,license,driving,Michi ,,,licensing,96,,,,,
deportation,state,eviction,landlord,Michi ,,,evicted,18,,,,,
immigrant,citizenship,applicant,job,Michi ,,,applicants,584,,,,,
naturalization,immigrant,graduation,student,Michi ,,,graduating,2,,,,,
ICE,nationalism,symptom,disease,Michi (left-wing framing),left,,liberalism,254,,,,,
ICE,nation,firewall,network,Michi (right-wing framing),right,,firewalls,22,,,,,
Kosovar,Albania,Syrian,Turkey,Fucheng,neutral,destination,Syria,29,,,,,
Sudanese,Uganda,Rwandan,Congo,Fucheng,neutral,destination,Rwanda,15,,,,,
Tibetan,India,Cuban,Florida,Fucheng,left,destination,Cuba,33,,,,,
Filipino,Nurse,Indian,Doctor,Fucheng,neutral,occupation,RN,10,,,,,
Chinese,Chef,Turkish,Barber,Fucheng,neutral,occupation,chef,362,,,,,
Polish,Builder,Nigerian,Security,Fucheng,neutral,occupation,Nigeria,1327,,,,,
immigrant,benefit,taxpayer,bill,Fucheng,right,economic,taxpayers,769,,,,,
engine,vehicle,immigrant,economy,Fucheng,left,economic,immigrants,9061,,,,,
host,immigrant,Oxford,student,Fucheng,left,economic,immigrants,175,,,,,
immigrant,destination,invader,denfender,Fucheng,right,war,invaders,,,,,,
Syria,Turkey,Russia,Ukraine,Fucheng,right,war,Ukraine,1,,,,,
Myanmar,Bangladesh,Israel,Gaza,Fucheng,right,war,Tel_Aviv,17,,,,,
bird,migration,bear,hibernation,Fucheng,neutral,animal,migrate,2329,,,,,
swallow,England,whale,Alaska,Fucheng,neutral,animal,whales,154,,,,,
goose,Greenland,seal,Carnifornia,Fucheng,neutral,animal,sealed,,,,,,
bird,light,whale,noise,Fucheng,neutral,animal,whales,9265,,,,,
salmon,river,turtle,beach,Fucheng,neutral,animal,creek,41,,,,,
flamingo,lake,wildebeest,savannah,Fucheng,neutral,animal,lakes,14017,,,,,
citizen,immigrant,water,flood,Sophie,,water,migrant,277,,,,,
native,immigrant,water,flood,Sophie,,water,immigrants,979,,,,,
resident,immigrant,water,flood,Sophie,,water,immigrants,2029,,,,,
natural_born,immigrant,water,flood,Sophie,,water,,,,,,,
national,immigrant,water,flood,Sophie,,water,immigrants,842,,,,,
habitant,immigrant,water,flood,Sophie,,water,immigrants,590,,,,,
nonimmigrant,immigrant,water,flood,Sophie,,water,Water,552,,,,,
American,immigrant,water,flood,Sophie,,water,migrant,169,,,,,
country,immigrant,water,flood,Sophie,,water,immigrants,755,,,,,
citizen,migrant,water,flood,Sophie,,water,migrants,194,,,,,
native,migrant,water,flood,Sophie,,water,migrants,413,,,,,
resident,migrant,water,flood,Sophie,,water,migrants,784,,,,,
natural_born,migrant,water,flood,Sophie,,water,,,,,,,
national,migrant,water,flood,Sophie,,water,migrants,410,,,,,
habitant,migrant,water,flood,Sophie,,water,migrants,188,,,,,
nonimmigrant,migrant,water,flood,Sophie,,water,river,257,,,,,
American,migrant,water,flood,Sophie,,water,migrants,143,,,,,
country,migrant,water,flood,Sophie,,water,migrants,351,,,,,
citizen,alien,water,flood,Sophie,,water,aliens,873,,,,,
native,alien,water,flood,Sophie,,water,aliens,3238,,,,,
resident,alien,water,flood,Sophie,,water,aliens,2826,,,,,
natural_born,alien,water,flood,Sophie,,water,,,,,,,
national,alien,water,flood,Sophie,,water,aliens,2020,,,,,
habitant,alien,water,flood,Sophie,,water,aliens,1529,,,,,
nonimmigrant,alien,water,flood,Sophie,,water,watery,937,,,,,
American,alien,water,flood,Sophie,,water,aliens,432,,,,,
country,alien,water,flood,Sophie,,water,aliens,2025,,,,,
citizen,refugee,water,flood,Sophie,,water,refugees,37,,,,,
native,refugee,water,flood,Sophie,,water,refugees,86,,,,,
resident,refugee,water,flood,Sophie,,water,refugees,114,,,,,
natural_born,refugee,water,flood,Sophie,,water,,,,,,,
national,refugee,water,flood,Sophie,,water,refugees,84,,,,,
habitant,refugee,water,flood,Sophie,,water,refugees,56,,,,,
nonimmigrant,refugee,water,flood,Sophie,,water,refugees,62,,,,,
American,refugee,water,flood,Sophie,,water,refugees,44,,,,,
country,refugee,water,flood,Sophie,,water,refugees,63,,,,,
flock,migration,people,immigration,Audrey,,animal,migrants,22,,,,,
swarm,movement,people,immigration,Audrey,,animal,Movement,9221,,,,,
school,fish,community,immigrant,Audrey,,animal,mussels,8417,,,,,
colony,ants,community,settlement,Audrey,,animal,ant,40467,,,,,
cargo,goods,migrants,immigration,Audrey,,commodities,migrant_workers,44,,,,,
goods,export,people,emigration,Audrey,,commodities,exporting,,,,,,
cargo,shipment,migrants,relocation,Audrey,,commodities,migrant,2760,,,,,
load,delivery,refugees,arrival,Audrey,,commodities,refugee,6465,,,,,
goods,import,migrants,entry,Audrey,,commodities,migrant,1179,,,,,
freight,transit,migrants,crossing,Audrey,,commodities,immigrants,1445,,,,,
inventory,tracking,population,registration,Audrey,,commodities,populations,10306,,,,,
invasion,fortress,migration,border,Audrey,,invasion,migrating,253,,,,,
breach,wall,influx,nation,Audrey,,invasion,walls,25649,,,,,
visitor,house,migration,society,Audrey,,,migrating,1275,,,,,
immigration,culture,nutrition,body,Elim,left,human,nutritional,794,,,,,
immigrant,nation,workers,factory,Elim,left,society,employees,5030,,,,,
immigration,inequality,prescription,disease,Elim,left,human,inequalities,1254,,,,,
governance,immigration,compass,traveler,Elim,left,human,Immigration,185,,,,,
citizen,immigrant,soil,wind,Elim,neutral,nature,immigrants,5596,,,,,
migration,policy,traffic,control,Elim,neutral,society,policies,5523,,,,,
policy,immigration,law,crime,Elim,right,society,Immigration,88,,,,,
immigration,security,invasion,defense,Elim,right,society,invading,6628,,,,,
immigration,society,pollutions,river,Elim,right,nature,societies,2180,,,,,
immigration,equality,pressures,bridge,Elim,right,nature,constraints,14509,,,,,
ICE,border,enforcement,control,Michi,right,,borders,574,,,,,
ICE,border,enforcement,oppression,Michi,left,,borders,11864,,,,,
immigrant,nation,contribution,burden,Michi,right,,contributions,957,,,,,
immigrant,nation,contribution,growth,Michi,left,,contributions,1093,,,,,
refugee,crisis,policy,restriction,Michi,right,,crises,256,,,,,
refugee,crisis,policy,protection,Michi,left,,crises,17476,,,,,
citizenship,belonging,test,exclusion,Michi,right,,tests,26761,,,,,
citizenship,belonging,test,inclusion,Michi,left,,tests,22055,,,,,
border,security,wall,safety,Michi,right,,walls,67,,,,,
border,security,wall,division,Michi,left,,walls,24751,,,,,
ICE,undocumented,mission,law,Michi,right,,missions,2944,,,,,
ICE,undocumented,mission,fear,Michi,left,,missions,6379,,,,,
immigration,economy,labor,competition,Michi,right,,economies,826,,,,,
immigration,economy,labor,innovation,Michi,left,,economies,324,,,,,
asylum,law,approval,loophole,Michi,right,,approved,368,,,,,
asylum,law,approval,justice,Michi,left,,approved,10973,,,,,
deportation,policy,purpose,order,Michi,right,,purposes,27067,,,,,
deportation,policy,purpose,cruelty,Michi,left,,purposes,46712,,,,,
undocumented,worker,identity,fraud,Michi,right,,employee,2956,,,,,
undocumented,worker,identity,exploitation,Michi,left,,employee,17693,,,,,
sanctuary,immigrant,protection,lawlessness,Michi,right,,immigrants,5237,,,,,
sanctuary,immigrant,protection,compassion,Michi,left,,immigrants,27349,,,,,